artist_name,normalized_name,total_shows,connection_count,years_active,first_year,last_year,years_span
Cory Mon,cory mon,31,82,[2006],2007,2008,2009
Boots to the Moon,boots to the moon,27,57,[2007],2008,2009,2010
Code Hero,code hero,25,43,[2006],2007,2008,2009
Mia Grace,mia grace,21,48,[2011],2012,2013,2014
Desert Noises,desert noises,22,37,[2008],2009,2010,2011
Kathleen Frewin,kathleen frewin,22,50,[2009],2010,2011,2012
Neon Trees,neon trees,22,50,[2006],2007,2008,2009
Timmy The Teeth,timmy the teeth,20,38,[2012],2013,2014,2015
The Devil Whale,the devil whale,17,42,[2008],2009,2010,2011
Kid Theodore,kid theodore,20,34,[2006],2007,2008,2009
Quasi-Stellar Radio,quasi-stellar radio,18,34,[2006],2007,2008,2009
Jeff Stone,jeff stone,16,34,[2006],2007,2008,2009
Cowboys,cowboys,18,66,[2006],2007,2009,2010
Seve vs. Evan,seve vs. evan,17,38,[2006],2007,2008,2009
The Trademark,the trademark,16,30,[2006],2007,2008,2009
Emily Brown,emily brown,17,32,[2010],2011,2012,2014
Katie Brandeburg,katie brandeburg,17,38,[2007],2008,2009,2010
Marcus Bently,marcus bently,11,28,[2006],2007,2008,2013
Queenadilla,queenadilla,16,26,[2013],2014,2015,2016
Paul Jacobsen,paul jacobsen,12,28,[2007],2008,2009,2010
Cary Judd,cary judd,5,26,[2006],2007,2008,2009
The New Electric Sound,the new electric sound,14,25,[2012],2013,2014,2015
The New Nervous,the new nervous,13,28,[2006],2007,2008,2009
Isaac Russell,isaac russell,12,26,[2007],2008,2010,2012
Lake Island,lake island,12,25,[2011],2012,2013,2014
The John Whites,the john whites,12,24,[2006],2007,2008,2010
Deadtooth,deadtooth,13,25,[2012],2013,2014,2015
Allred,allred,11,24,[2006],2007,2008,2015
Return To Sender,return to sender,13,29,[2006],2007,2008,2009
Spirit City,spirit city,13,19,[2014],2015,2016,2017
The Vibrant Sound,the vibrant sound,12,18,[2009],2010,2011,2013
Harpers,harpers,11,13,[2018],2019,2022,2023
Drusky,drusky,12,29,[2019],2020,2021,2022
Pinguin Mofex,pinguin mofex,12,19,[2016],2017,2018,2019
Brinton Jones,brinton jones,11,20,[2006],2007,2008,2009
Nate Pyfer,nate pyfer,11,22,[2007],2008,2009,2011
The Lovestrange,the lovestrange,11,17,[2015],2016,2017,2018
With Andrea,with andrea,10,16,[2021],2022,2023,2024
The Brocks,the brocks,11,21,[2011],2012,2013,2014
The Eden Express,the eden express,11,18,[2006],2007,2008,2009
Book On Tape Worm,book on tape worm,11,8,[2011],2012,2013,2014
Little Moon,little moon,11,14,[2017],2018,2019,2022
Garon Brett,garon brett,10,11,[2018],2019,2020,2021
Shark Speed,shark speed,9,30,[2008],2009,2010,2011
Goldmyth,goldmyth,11,18,[2015],2017,2019,2021
Brother,brother,10,13,[2012],2016,2017,2018
Okkah,okkah,9,15,[2014],2015,2016,2017
Michael Barrow,michael barrow,3,19,[2015],2016,2017,2018
Caleb Darger,caleb darger,8,17,[2011],2016,2017,2022
Blue Aces,blue aces,10,18,[2011],2012,2013,2014
Jenn Blosil,jenn blosil,10,15,[2009],2010,2011,2012
Caleb Blood,caleb blood,9,21,[2010],2011,2012,2013
Drew Danburry,drew danburry,11,19,[2006],2008,2009,2012
Debra fotheringham,debra fotheringham,10,20,[2006],2007,2008,2009
Gypsy Cab,gypsy cab,9,18,[2009],2010,2011,2012
Kitfox,kitfox,9,14,[2013],2014,2015,2016
Ryan Innes,ryan innes,9,17,[2010],2011,2013,2014
Robert Loud,robert loud,5,15,[2016],2017,2018,2019
Mmend,mmend,8,10,[2016],2017,2018,2019
Mideau,mideau,8,8,[2012],2013,2014,2015
Rally,rally,9,18,[2019],2021,2022,2023
Cherish Degraaf,cherish degraaf,9,18,[2016],2017,2018,2019
Dustin Christensen,dustin christensen,8,17,[2010],2011,2012,2014
Swimm,swimm,3,13,[2013],2014,2015,2017
Robert,robert,9,23,[2008],2011,2012,2013
Grove,grove,9,11,[2016],2017,2018,2019
Kiss Me Kill Me,kiss me kill me,9,20,[2008],2009,2010,2011
Grizzly Goat,grizzly goat,8,22,[2014],2015,2016,2017
Strange Familia,strange familia,8,13,[2015],2016,2017,2018
Faith Johnson,faith johnson,6,7,[2011],2012,2013,2014
Matt Hopper,matt hopper,8,18,[2006],2007,2008,2010
Seth Brown,seth brown,7,17,[2014],2015,2016,2017
Salazar,salazar,8,17,[2011],2012,2013,2014
Cesley,cesley,8,20,[2019],2020,2023,2024
Paul Travis,paul travis,8,17,[2013],2014,2015,2016
John Allred,john allred,7,10,[2006],2007,2014,2015
etc,etc,3,21,[2006],2007,2010,2011
Jordan Moyes,jordan moyes,8,12,[2015],2018,2019,2022
Emily Bea,emily bea,8,16,[2013],2014,2015,2016
Truman,truman,7,12,[2006],2008,2009,2010
Chance Lewis,chance lewis,6,14,[2008],2009,2010,2011
Michael Bradford,michael bradford,7,16,[2008],2009,2012,2013
Le Dad,le dad,6,10,[2019],2020,2021,2022
Libbie Linton,libbie linton,1,16,[2015],2020,2021,2023
Ben Reneer,ben reneer,6,14,[2014],2017,2018,2019
Haley Hendrickson,haley hendrickson,7,16,[2008],2009,2011,2012
the Carrolls,the carrolls,7,18,[2008],2011,2012,2013
Grey Glass,grey glass,7,15,[2014],2015,2016,2018
the Tourists,the tourists,7,13,[2017],2018,2019,2022
The Rubies,the rubies,7,15,[2018],2019,2020,2022
Faith Marie,faith marie,6,10,[2016],2019,2022,2023
Mac Wright,mac wright,3,16,[2018],2020,2022,2023
Mad Max,mad max,6,13,[2012],2014,2015,2016
J. Wride,j. wride,6,14,[2008],2009,2010,2013
Al Deans,al deans,6,17,[2007],2008,2009,2011
Hello Helicopter,hello helicopter,5,9,[2009],2009,2009,1
Suit Up Soldier,suit up soldier,5,11,[2014],2016,2017,2018
Brogan Kelby,brogan kelby,5,6,[2013],2016,2017,2019
The Penny Candies,the penny candies,5,9,[2020],2021,2022,2023
Timber!,timber!,4,11,[2011],2011,2011,1
Moonwhale,moonwhale,5,10,[2007],2007,2007,1
Steven Stucki,steven stucki,5,8,[2011],2012,2013,2014
Sun House,sun house,4,8,[2014],2014,2014,1
Over Under,over under,5,7,[2019],2020,2021,2022
Viridian,viridian,3,8,[2024],2024,2024,1
Malik,malik,4,10,[2012],2012,2012,1
Batty Blue,batty blue,5,7,[2015],2015,2015,1
Chris Merritt,chris merritt,4,10,[2007],2007,2007,1
The Old Grey Geese,the old grey geese,4,12,[2011],2011,2011,1
poetry etc,poetry etc,4,0,[2006],2006,2006,1
Ryan Darton,ryan darton,1,7,[2012],2012,2012,1
The Moonspinners,the moonspinners,3,7,[2025],2025,2025,1
ER,er,2,8,[2010],2010,2010,1
Auburn,auburn,3,6,[2006],2006,2006,1
Maple Grove,maple grove,3,6,[2008],2008,2008,1
Synergy,synergy,2,7,[2014],2014,2014,1
Bluhme,bluhme,3,8,[2013],2013,2013,1
The Backseat Lovers,the backseat lovers,3,4,[2018],2018,2018,1
Brass Rook,brass rook,2,1,[2018],2018,2018,1
The Color Gypsy,the color gypsy,3,4,[2008],2008,2008,1
Antelope Island,antelope island,3,5,[2023],2023,2023,1
King Kobras,king kobras,3,5,[2008],2008,2008,1
Wild Flour,wild flour,4,7,[2024],2024,2024,1
David Oliver,david oliver,3,7,[2012],2012,2012,1
The Standstill,the standstill,3,5,[2007],2007,2007,1
Health Care,health care,4,9,[2023],2023,2023,1
Paul Gonzales,paul gonzales,3,5,[2008],2008,2008,1
Modern Crush,modern crush,3,7,[2007],2007,2007,1
The Fangs,the fangs,3,5,[2017],2017,2017,1
Inside,inside,3,8,[2008],2008,2008,1
Waters Underground,waters underground,3,9,[2008],2008,2008,1
Psychedelic Purple,psychedelic purple,3,8,[2022],2022,2022,1
Jacob Luttrell,jacob luttrell,3,8,[2007],2007,2007,1
Desmond Mar,desmond mar,3,6,[2011],2011,2011,1
Paper Guns,paper guns,3,6,[2014],2014,2014,1
Mury,mury,3,4,[2009],2009,2009,1
Burning Olympus,burning olympus,3,7,[2009],2009,2009,1
Lost in Bourbon,lost in bourbon,3,7,[2015],2015,2015,1
Johnny Most,johnny most,3,5,[2006],2006,2006,1
Awakening Autumn,awakening autumn,3,9,[2025],2025,2025,1
South Paw,south paw,3,6,[2014],2014,2014,1
Vol Suetra,vol suetra,3,6,[2007],2007,2007,1
Beautiful People of Belgium,beautiful people of belgium,3,9,[2013],2013,2013,1
The Weakmen Final Show,the weakmen final show,2,3,[2007],2007,2007,1
The Mckeon Sisters,the mckeon sisters,2,6,[2015],2015,2015,1
Emily Wolfe,emily wolfe,2,7,[2010],2010,2010,1
Watterson,watterson,2,5,[2025],2025,2025,1
Concubine,concubine,2,3,[2008],2008,2008,1
Hayley Hernandez,hayley hernandez,2,5,[2010],2010,2010,1
After It All,after it all,1,5,[2006],2006,2006,1
Andrew Belle,andrew belle,2,4,[2010],2010,2010,1
Issac Hayden,issac hayden,2,2,[2006],2006,2006,1
Rob Spice,rob spice,2,4,[2025],2025,2025,1
Katie Dellenbach,katie dellenbach,2,4,[2010],2010,2010,1
Pick Pocket,pick pocket,2,1,[2019],2019,2019,1
Maple Grove. Modern Crush,maple grove. modern crush,2,0,[2007],2007,2007,1
They Shall Be Lions,they shall be lions,2,6,[2011],2011,2011,1
Derk Boss,derk boss,2,5,[2016],2016,2016,1
Mckay Stevens Project,mckay stevens project,2,4,[2008],2008,2008,1
Miniature Tigers,miniature tigers,2,2,[2010],2010,2010,1
Whilmington,whilmington,2,4,[2011],2011,2011,1
Gralley,gralley,2,3,[2025],2025,2025,1
Allred $12/$14,allred $12/$14,2,2,[2009],2009,2009,1
Kid You Nauts,kid you nauts,2,5,[2007],2007,2007,1
Midnite Judges,midnite judges,2,3,[2025],2025,2025,1
Flashburnt Shapes,flashburnt shapes,2,5,[2007],2007,2007,1
Bottleship,bottleship,2,6,[2011],2011,2011,1
Jay Wride,jay wride,2,6,[2007],2007,2007,1
Tatanka,tatanka,2,2,[2011],2011,2011,1
Grace Wawro,grace wawro,2,6,[2025],2025,2025,1
Due to illness,due to illness,2,1,[2017],2017,2017,1
The Echo Chorus,the echo chorus,2,6,[2014],2014,2014,1
Ruts-N-Weeds,ruts-n-weeds,2,4,[2012],2012,2012,1
Last Wild Buffalo,last wild buffalo,2,2,[2025],2025,2025,1
Father Time,father time,2,6,[2011],2011,2011,1
Mirrim,mirrim,2,3,[2008],2008,2008,1
the Shivaree,the shivaree,2,7,[2010],2010,2010,1
The Easy Riders,the easy riders,2,5,[2012],2012,2012,1
The Young Hurricanes,the young hurricanes,2,6,[2010],2010,2010,1
June Cat,june cat,1,4,[2014],2014,2014,1
Steven Halliday Band,steven halliday band,2,3,[2016],2016,2016,1
more...),more...),2,3,[2009],2009,2009,1
Asher in the Rye,asher in the rye,2,5,[2008],2008,2008,1
Parker Pratt 7:30pm,parker pratt 7:30pm,2,1,[2019],2019,2019,1
The Knockouts,the knockouts,2,7,[2012],2012,2012,1
Dry Erase Tracks,dry erase tracks,2,5,[2015],2015,2015,1
Young Buffalo,young buffalo,2,2,[2015],2015,2015,1
Bright Whistles,bright whistles,2,5,[2014],2014,2014,1
Hollow Bodies,hollow bodies,2,5,[2014],2014,2014,1
Kipling,kipling,2,4,[2013],2013,2013,1
Everybody Else,everybody else,2,0,[2008],2008,2008,1
The Alligators,the alligators,2,5,[2008],2008,2008,1
David Charles,david charles,1,4,[2012],2012,2012,1
HBD,hbd,2,4,[2019],2019,2019,1
Kara H,kara h,2,7,[2010],2010,2010,1
Tolchok Trio,tolchok trio,2,2,[2006],2006,2006,1
Kat Roemer,kat roemer,2,2,[2014],2014,2014,1
Grant Olsen $8,grant olsen $8,2,1,[2007],2007,2007,1
Robots Ate My Garden,robots ate my garden,2,5,[2017],2017,2017,1
Coma Pilot,coma pilot,2,4,[2014],2014,2014,1
Federal Party Players,federal party players,2,6,[2011],2011,2011,1
Headaches,headaches,2,5,[2013],2013,2013,1
19MPH,19mph,2,3,[2021],2021,2021,1
Baby Ghosts,baby ghosts,2,4,[2012],2012,2012,1
Post Meridian,post meridian,2,5,[2006],2006,2006,1
Caysen Wright,caysen wright,2,6,[2023],2023,2023,1
Jung Neil,jung neil,2,4,[2019],2019,2019,1
Garrett Williams,garrett williams,2,6,[2011],2011,2011,1
Adam Derfler,adam derfler,2,3,[2014],2014,2014,1
Saul,saul,2,5,[2012],2012,2012,1
Brittany Joell,brittany joell,2,3,[2015],2015,2015,1
The King's Solar,the king's solar,2,4,[2014],2014,2014,1
Branson Anderson,branson anderson,2,2,[2015],2015,2015,1
Blue Wavers,blue wavers,2,4,[2014],2014,2014,1
The 2:13s,the 2:13s,2,4,[2012],2012,2012,1
Cyber Cowboy,cyber cowboy,2,4,[2013],2013,2013,1
the Sea,the sea,2,3,[2006],2006,2006,1
Mitchee,mitchee,2,4,[2025],2025,2025,1
Mansions,mansions,2,3,[2009],2009,2009,1
PAPER RIVAL,paper rival,2,8,[2008],2008,2008,1
TAG!,tag!,2,2,[2022],2022,2022,1
Mike Fralick,mike fralick,2,4,[2010],2010,2010,1
TerraQ,terraq,2,6,[2015],2015,2015,1
Currency,currency,2,2,[2008],2008,2008,1
Spencer Petersen,spencer petersen,1,0,[2021],2021,2021,1
The Continentals,the continentals,2,3,[2010],2010,2010,1
Steady Machete,steady machete,2,2,[2008],2008,2008,1
Bryn Johnson,bryn johnson,2,6,[2024],2024,2024,1
Callery Pears,callery pears,2,5,[2022],2022,2022,1
Ida Grey,ida grey,2,5,[2025],2025,2025,1
Heber Matute,heber matute,2,5,[2025],2025,2025,1
Roz Harding,roz harding,2,5,[2019],2019,2019,1
Keaton Simons,keaton simons,1,2,[2008],2008,2008,1
Fellows,fellows,2,4,[2017],2017,2017,1
To the Death,to the death,2,5,[2007],2007,2007,1
The F.C.B,the f.c.b,2,4,[2013],2013,2013,1
Anyone Awake,anyone awake,1,2,[2025],2025,2025,1
Ultraviolet Catastrophe,ultraviolet catastrophe,2,6,[2011],2011,2011,1
Vanishing Act,vanishing act,2,4,[2008],2008,2008,1
These Architects,these architects,2,5,[2010],2010,2010,1
The Weak Men,the weak men,2,6,[2006],2006,2006,1
Ashley Taylor,ashley taylor,2,4,[2017],2017,2017,1
No 1s Home,no 1s home,2,7,[2024],2024,2024,1
Mom Dad,mom dad,2,4,[2024],2024,2024,1
St Charles,st charles,2,4,[2014],2014,2014,1
Kinnen,kinnen,2,5,[2024],2024,2024,1
Larusso,larusso,2,5,[2007],2007,2007,1
Ready Set Verb,ready set verb,2,4,[2008],2008,2008,1
The Crosswinds,the crosswinds,2,2,[2016],2016,2016,1
the Southern Boys,the southern boys,2,4,[2006],2006,2006,1
Echo Mind,echo mind,2,4,[2015],2015,2015,1
James Allen Spirit,james allen spirit,2,4,[2015],2015,2015,1
Brilliant Stereo Mob,brilliant stereo mob,2,3,[2006],2006,2006,1
Valentines Day Club,valentines day club,2,5,[2025],2025,2025,1
Kenya,kenya,2,4,[2025],2025,2025,1
Love Junk,love junk,2,6,[2023],2023,2023,1
Jaxton Dayton,jaxton dayton,2,4,[2018],2018,2018,1
Kara Henderson,kara henderson,2,5,[2010],2010,2010,1
Mendy Magistro,mendy magistro,2,4,[2009],2009,2009,1
Knife,knife,2,3,[2006],2006,2006,1
Hayley,hayley,2,4,[2011],2011,2011,1
Brysn,brysn,2,4,[2024],2024,2024,1
Amiamo,amiamo,2,6,[2011],2011,2011,1
The Old World,the old world,2,5,[2012],2012,2012,1
Crazy Old Maurice,crazy old maurice,2,5,[2012],2012,2012,1
Our Olde Soul,our olde soul,2,3,[2017],2017,2017,1
Anesty,anesty,2,6,[2006],2006,2006,1
Nuclear Hearse,nuclear hearse,2,6,[2007],2007,2007,1
Canadians Among Us,canadians among us,1,4,[2006],2006,2006,1
Kristian H,kristian h,2,2,[2008],2008,2008,1
Sidizen King,sidizen king,2,0,[2016],2016,2016,1
CAYSN,caysn,2,3,[2025],2025,2025,1
Ashley Fairbourne,ashley fairbourne,2,5,[2009],2009,2009,1
Salt City,salt city,1,4,[2006],2006,2006,1
Trisha Storey,trisha storey,2,1,[2010],2010,2010,1
The Record Life,the record life,2,3,[2009],2009,2009,1
The Summerset,the summerset,2,2,[2008],2008,2008,1
Tempered,tempered,2,4,[2008],2008,2008,1
Sunset Station,sunset station,2,6,[2023],2023,2023,1
Spork,spork,2,3,[2006],2006,2006,1
Team Mom,team mom,2,2,[2008],2008,2008,1
Dear Stranger,dear stranger,2,6,[2007],2007,2007,1
the Giant,the giant,2,7,[2013],2013,2013,1
Cas Haley,cas haley,2,2,[2011],2011,2011,1
Wolves,wolves,2,5,[2011],2011,2011,1
Dino Troupe,dino troupe,2,6,[2025],2025,2025,1
Just for the Record,just for the record,2,4,[2010],2010,2010,1
Chadgib,chadgib,2,6,[2014],2014,2014,1
The Hideout,the hideout,1,3,[2006],2006,2006,1
BB Gun,bb gun,2,6,[2013],2013,2013,1
Apache,apache,2,2,[2010],2010,2010,1
UltraVatic,ultravatic,2,3,[2025],2025,2025,1
No Diploma,no diploma,2,5,[2022],2022,2022,1
Me,me,2,4,[2024],2024,2024,1
Jonah Feigleson,jonah feigleson,2,3,[2025],2025,2025,1
Cant Stop Wont Stop,cant stop wont stop,2,4,[2010],2010,2010,1
The People's Thieves,the people's thieves,2,3,[2018],2018,2018,1
Great White Shore,great white shore,2,2,[2018],2018,2018,1
Slumber Party rescheduled for next weekend,slumber party rescheduled for next weekend,2,1,[2017],2017,2017,1
Ayin,ayin,2,5,[2007],2007,2007,1
Francis 3.The Last Wild Buffalo 4.Bleu Grave,francis 3.the last wild buffalo 4.bleu grave,2,2,[2025],2025,2025,1
Geist,geist,2,3,[2025],2025,2025,1
The Moonboys,the moonboys,2,4,[2016],2016,2016,1
A Sweet Bitter Winter,a sweet bitter winter,2,3,[2008],2008,2008,1
Clean Freak,clean freak,2,4,[2025],2025,2025,1
Ivouries,ivouries,2,1,[2018],2018,2018,1
Jonas Swanson,jonas swanson,2,4,[2019],2019,2019,1
The Campaign,the campaign,2,4,[2011],2011,2011,1
The Tacks,the tacks,1,4,[2006],2006,2006,1
The Moon,the moon,2,3,[2006],2006,2006,1
Chris Riding,chris riding,2,2,[2022],2022,2022,1
The Grand Gasconade,the grand gasconade,2,7,[2013],2013,2013,1
The May Reunion,the may reunion,2,3,[2014],2014,2014,1
Delphic Quorum,delphic quorum,2,3,[2011],2011,2011,1
David Moon,david moon,2,1,[2018],2018,2018,1
Tyler Howells,tyler howells,2,3,[2007],2007,2007,1
Carlos Viitanen,carlos viitanen,2,3,[2015],2015,2015,1
The Whits,the whits,2,5,[2011],2011,2011,1
Back Patio,back patio,2,7,[2025],2025,2025,1
Goodmorning Maxfield,goodmorning maxfield,2,2,[2008],2008,2008,1
Mason Winter,mason winter,2,5,[2013],2013,2013,1
The Ladells,the ladells,2,7,[2013],2013,2013,1
The Moss,the moss,1,3,[2019],2019,2019,1
Tom Butler,tom butler,2,6,[2012],2012,2012,1
Image Down,image down,2,4,[2011],2011,2011,1
Spiral Diary $10,spiral diary $10,2,3,[2009],2009,2009,1
Apollo,apollo,2,5,[2012],2012,2012,1
Mindy Gledhill 8pm,mindy gledhill 8pm,2,0,[2012],2012,2012,1
Candy Claws,candy claws,2,2,[2010],2010,2010,1
Pug,pug,2,6,[2007],2007,2007,1
Justian Read,justian read,2,4,[2016],2016,2016,1
Moncheri,moncheri,2,4,[2006],2006,2006,1
Trey Warner,trey warner,2,3,[2022],2022,2022,1
AYEM,ayem,2,3,[2012],2012,2012,1
SDR,sdr,2,4,[2008],2008,2008,1
Les Sages,les sages,2,5,[2011],2011,2011,1
Berkley German,berkley german,1,3,[2025],2025,2025,1
Nate Wagoner,nate wagoner,1,2,[2017],2017,2017,1
Tanner Pace,tanner pace,1,3,[2018],2018,2018,1
Skalloween! 2 1/2 White Guys,skalloween! 2 1/2 white guys,1,3,[2006],2006,2006,1
Red Spectre,red spectre,1,2,[2006],2006,2006,1
Crystal Eyes,crystal eyes,1,3,[2017],2017,2017,1
Sitcom,sitcom,1,3,[2007],2007,2007,1
Jared Harding,jared harding,1,2,[2015],2015,2015,1
Kick,kick,1,3,[2015],2015,2015,1
The Schwackters,the schwackters,1,3,[2019],2019,2019,1
Sord,sord,1,2,[2018],2018,2018,1
Can't Stop Won't Stop,can't stop won't stop,1,2,[2012],2012,2012,1
Paul Pablo Gonzales,paul pablo gonzales,1,2,[2008],2008,2008,1
Paul Jacobsen $10,paul jacobsen $10,1,1,[2006],2006,2006,1
Ethan Case,ethan case,1,2,[2017],2017,2017,1
