date	day	month	year	title	genre	artists	description	venue	is_open_mic	is_festival	is_special_event	extracted_at
2025-10-01	1	October	2025	Open-Mic Night	Unknown		Open-Mic Night	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368229
2025-10-02	2	October	2025	Ferrin, Kaytlin Numbers, Avintaquin	Indie-Jazz/Rock		(Indie-Jazz/Rock) Ferrin, Kaytlin Numbers, Avintaquin	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368252
2025-10-03	3	October	2025	"Noble Bodies ""Reunion""!"	Rock/Indie	Hug The Warrior, The LoveStrange	"(Rock/Indie) Noble Bodies ""Reunion""! w/ Hug The Warrior, The LoveStrange"	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368265
2025-10-04	4	October	2025	Lovingly Clad, The Moonspinners, Pats Cajamas	Rock/Indie		(Rock/Indie) Lovingly Clad, The Moonspinners, Pats Cajamas	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368274
2025-10-08	8	October	2025	Open-Mic Night	Unknown		Open-Mic Night	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368282
2025-10-09	9	October	2025	"Amy Geis ""Album Release"	Pop	Wildwood, Mik & Tom	"(Pop) Amy Geis ""Album Release"" w/ Wildwood, Mik & Tom"	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368291
2025-10-10	10	October	2025	SEGO	Indie/Art-Rock	Social Cinema (KS), Rob Spice	(Indie/Art-Rock) SEGO w/ Social Cinema (KS), Rob Spice	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368299
2025-10-11	11	October	2025	AURHE, Geist, Ophelias Drowning	Alt/Rock		(Alt/Rock) AURHE, Geist, Ophelias Drowning	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368306
2025-10-15	15	October	2025	Open-Mic Night	Unknown		Open-Mic Night	Velour Live Music Gallery	True	False	False	2025-10-11T14:36:18.368313
2025-10-16	16	October	2025	Bleu Grave, Mortal American Body, Midnite Judges	Indie/Post-Punk		(Indie/Post-Punk) Bleu Grave, Mortal American Body, Midnite Judges	Velour Live Music Gallery	False	False	False	2025-10-11T14:36:18.368320
