artist1,artist1_normalized,artist2,artist2_normalized,shows_together
Echo,echo,Shake,shake,9
Old,old,Young,young,8
Michael Barrow,michael barrow,the Tourists,the tourists,6
The Flame,the flame,The Moth,the moth,6
Gent,gent,Lady,lady,6
Cory Mon,cory mon,Jeff Stone,jeff stone,6
Robert,robert,the Carrolls,the carrolls,6
Code Hero,code hero,Cory Mon,cory mon,5
art,art,"Cabaret Velour"" featuring music","cabaret velour"" featuring music",5
Mad Max,mad max,the Wild Ones,the wild ones,5
Cory Mon,cory mon,the S.G,the s.g,5
Caleb Blood,caleb blood,Nik Day,nik day,4
Qcom,qcom,the JT Empire,the jt empire,4
Ferocious Oaks,ferocious oaks,The Devil Whale,the devil whale,4
art,art,poetry etc,poetry etc,4
"Cabaret Velour"" featuring music","cabaret velour"" featuring music",poetry etc,poetry etc,4
Andy Martin,andy martin,Joe Castor,joe castor,4
J.R. Boyce,j.r. boyce,Kathleen Frewin,kathleen frewin,3
Donnie Bonelli,donnie bonelli,Nate Pyfer,nate pyfer,3
BBGUN,bbgun,Queenadilla,queenadilla,3
Mighty Sequoyah,mighty sequoyah,The Flame,the flame,3
Cory Mon,cory mon,Dave Eaton,dave eaton,3
Mac Wright,mac wright,The Generous,the generous,3
The National Parks,the national parks,Westward The Tide,westward the tide,3
If,if,When,when,3
Chasing Kings,chasing kings,Eyes Lips Eyes,eyes lips eyes,3
Cary Judd,cary judd,Jeff Stone,jeff stone,3
Cory Mon,cory mon,the Starlight Gospel,the starlight gospel,3
Ricky,ricky,the Rayguns,the rayguns,3
Allred,allred,The Trademark,the trademark,3
Le Mule,le mule,Lemon,lemon,3
Isaac Russell,isaac russell,Joe Castor,joe castor,3
furniture,furniture,VINTAGE FLEA MARKET!!!! (Clothing,vintage flea market!!!! (clothing,3
Kid Theodore,kid theodore,The John Whites,the john whites,3
Boots to the Moon,boots to the moon,Desert Noises,desert noises,3
Bonneville,bonneville,With Andrea,with andrea,3
Cory Mon,cory mon,Peter Harper,peter harper,3
Blind Actuaries,blind actuaries,The Brocks,the brocks,3
Brumby,brumby,Westward The Tide,westward the tide,3
Eidola,eidola,Temples,temples,3
Desert Noises,desert noises,The Devil Whale,the devil whale,3
Jay W. Henderson,jay w. henderson,Timmy The Teeth,timmy the teeth,3
Avintaquin,avintaquin,Local Kin,local kin,3
Adam,adam,Darcie,darcie,3
Ferocious Oaks,ferocious oaks,Gypsy Cab,gypsy cab,3
Mathematics Et Cetera,mathematics et cetera,The Weakmen,the weakmen,2
Cody Rigby,cody rigby,Kathleen Frewin,kathleen frewin,2
Albert,albert,Faith Marie,faith marie,2
Cody Taylor,cody taylor,Mike Fralick,mike fralick,2
Andy Martin,andy martin,Joshua James,joshua james,2
Libbie Linton,libbie linton,Stephanie Mabey,stephanie mabey,2
The New Nervous,the new nervous,The Trademark,the trademark,2
The New Nervous,the new nervous,Victim Effect,victim effect,2
Boots to the Moon,boots to the moon,Paul Gonzales,paul gonzales,2
Caleb Darger,caleb darger,Mooninite,mooninite,2
RuRu,ruru,Sayde Price,sayde price,2
Caleb Blood,caleb blood,Cubworld,cubworld,2
Sober Down,sober down,Tatanka,tatanka,2
Festive People,festive people,Spirit City,spirit city,2
Band of Annuals,band of annuals,Cowboys,cowboys,2
RuRu,ruru,The Devil Whale,the devil whale,2
Matt Weidauer,matt weidauer,Shady Chapel,shady chapel,2
Leslie,leslie,The Devil Whale,the devil whale,2
Bat Manors,bat manors,L'anarchiste,l'anarchiste,2
the Badgers,the badgers,The Devil Whale,the devil whale,2
Leslie,leslie,the Badgers,the badgers,2
Regal Beast,regal beast,Temples,temples,2
Empirates,empirates,Temples,temples,2
Empirates,empirates,Regal Beast,regal beast,2
Madfish,madfish,Viridian,viridian,2
Cherish Degraaf,cherish degraaf,Les Femmes Roadie,les femmes roadie,2
Hello Helicopter,hello helicopter,Robbed,robbed,2
Boots to the Moon,boots to the moon,The Continentals,the continentals,2
Desert Noises,desert noises,The Continentals,the continentals,2
Marcus Bently,marcus bently,Nate Pyfer,nate pyfer,2
Dave Eaton,dave eaton,the S.G,the s.g,2
Gypsy Cab,gypsy cab,Queenadilla,queenadilla,2
Book on Tapeworm,book on tapeworm,Boots to the Moon,boots to the moon,2
Brendo,brendo,Scott,scott,2
Joe Castor,joe castor,Mason Porter,mason porter,2
Paul Jacobsen,paul jacobsen,the Madison Arm,the madison arm,2
Isaac Russell,isaac russell,Mason Porter,mason porter,2
Sunfish,sunfish,Sunsleeper,sunsleeper,2
Barsie,barsie,Spirit City,spirit city,2
Empirates,empirates,Kid Theodore,kid theodore,2
Drew Danburry,drew danburry,Taught Me,taught me,2
Ok Ikumi,ok ikumi,The Moon,the moon,2
The Moon,the moon,the Sea,the sea,2
Ok Ikumi,ok ikumi,the Sea,the sea,2
BBGUN,bbgun,Kathleen Frewin,kathleen frewin,2
Elemental,elemental,Quasi-Stellar Radio,quasi-stellar radio,2
Delphic Quorum,delphic quorum,Nicholas Allen,nicholas allen,2
Delphic Quorum,delphic quorum,Desmond Mar,desmond mar,2
Desmond Mar,desmond mar,Nicholas Allen,nicholas allen,2
Blind Actuaries,blind actuaries,Lovecapades,lovecapades,2
Empirates,empirates,ER,er,2
Cory Mon,cory mon,Shady Chapel,shady chapel,2
Lady,lady,The Mighty Sequoyah,the mighty sequoyah,2
Kathleen Frewin,kathleen frewin,Queenadilla,queenadilla,2
Andy Martin,andy martin,Grant Olsen,grant olsen,2
Lovecapades,lovecapades,The Brocks,the brocks,2
Gent,gent,The Mighty Sequoyah,the mighty sequoyah,2
Grant Olsen,grant olsen,Joe Castor,joe castor,2
Counterfeit Digits,counterfeit digits,Dane Brock,dane brock,2
The Howl,the howl,Vinyl Tapestries,vinyl tapestries,2
The Lovestrange,the lovestrange,The Moonboys,the moonboys,2
Pinguin Mofex,pinguin mofex,The Moonboys,the moonboys,2
Blue Aces,blue aces,Faith Johnson,faith johnson,2
Mortigi Tempo,mortigi tempo,Temples,temples,2
Eidola,eidola,Mortigi Tempo,mortigi tempo,2
Neon Trees,neon trees,Seve vs. Evan,seve vs. evan,2
Little Moon,little moon,Nymph,nymph,2
Scott Shepard,scott shepard,Spencer Petersen,spencer petersen,2
Bottleship,bottleship,Seafinch,seafinch,2
Okkah,okkah,Paper Guns,paper guns,2
Soul Research Foundation,soul research foundation,The Voodoo Orchestra,the voodoo orchestra,2
Down River,down river,Health Care,health care,2
Pando,pando,The Fellows,the fellows,2
Eyes Lips Eyes,eyes lips eyes,Seve vs. Evan,seve vs. evan,2
Andy Martin,andy martin,The John Whites,the john whites,2
A Way of Life,a way of life,Spiral Diary,spiral diary,2
Indigo Waves,indigo waves,Ruble,ruble,2
Luminaire,luminaire,Searching for Celia,searching for celia,2
Kenzie James,kenzie james,The Knockouts,the knockouts,2
Brother,brother,Mmend,mmend,2
Maren Gayle,maren gayle,The What-Nots,the what-nots,2
Desert Noises,desert noises,Miniature Tigers,miniature tigers,2
Burning Olympus,burning olympus,Victoria,victoria,2
Colby Stead,colby stead,Jeff Stone,jeff stone,2
Golden Sun,golden sun,Grey Fiction,grey fiction,2
Abby Normal,abby normal,Aldao,aldao,2
Hayley,hayley,Marlee,marlee,2
Crashing at Dawn,crashing at dawn,Street Legal,street legal,2
The Trademark,the trademark,Vainly Expressed,vainly expressed,2
Broke,broke,Vainly Expressed,vainly expressed,2
Coup De Grace,coup de grace,Dulce Sky,dulce sky,2
Broke,broke,The Trademark,the trademark,2
Coral Bones,coral bones,Spirit City,spirit city,2
Kara H,kara h,the Shivaree,the shivaree,2
Street Legal,street legal,The Second Round,the second round,2
Parker,parker,The Vibrant Sound,the vibrant sound,2
Broken Hearted Rounds,broken hearted rounds,The Question,the question,2
Coral Bones,coral bones,Seve vs Evan,seve vs evan,2
The Question,the question,Waters Underground,waters underground,2
Cherish Degraaf,cherish degraaf,Orcamind,orcamind,2
Ivy League,ivy league,Moonwhale,moonwhale,2
Ivy League,ivy league,Set In Stone,set in stone,2
Grey Fiction,grey fiction,Searching for Celia,searching for celia,2
Moonwhale,moonwhale,Set In Stone,set in stone,2
Debra fotheringham,debra fotheringham,Libbie Linton,libbie linton,2
Grey Glass,grey glass,Spirit City,spirit city,2
Me,me,Mom Dad,mom dad,2
Robert,robert,the Carroll's,the carroll's,2
Cody Rigby,cody rigby,Emily Brown,emily brown,2
Eyes Lips Eyes,eyes lips eyes,Toy Bombs,toy bombs,2
19 Miles Per Hour,19 miles per hour,Sunfish,sunfish,2
Searching for Celia,searching for celia,UNI,uni,2
John Whites,john whites,Mathematics Etc,mathematics etc,2
Quasi-Stellar Radio,quasi-stellar radio,Searching for Celia,searching for celia,2
Parlor Hawk,parlor hawk,Sunflow,sunflow,2
Band of Annuals,band of annuals,Desert Noises,desert noises,2
Raven Watch,raven watch,The Daniels,the daniels,2
The Second Round,the second round,Victoria,victoria,2
Homestyle Dinner Rolls,homestyle dinner rolls,w/ No Such Animal,w/ no such animal,2
Mad Diving Barons,mad diving barons,Robert,robert,2
Ivy League,ivy league,Love You Long Time,love you long time,2
King Kobras,king kobras,Waters Underground,waters underground,2
King Kobras,king kobras,The Question,the question,2
Deadtooth,deadtooth,Seve vs Evan,seve vs evan,2
Coral Bones,coral bones,Deadtooth,deadtooth,2
Cary Judd,cary judd,Code Hero,code hero,2
Code Hero,code hero,The Devil Whale,the devil whale,2
Matt Hopper,matt hopper,The Devil Whale,the devil whale,2
Sober Down,sober down,The Vibrant Sound,the vibrant sound,2
Code Hero,code hero,Marcus Bently,marcus bently,2
Donnie Bonelli,donnie bonelli,Pablo,pablo,2
Neon Trees,neon trees,The Brobecks,the brobecks,2
Nate Pyfer,nate pyfer,Pablo,pablo,2
Eden Express,eden express,"The Weakmen ""Final Show","the weakmen ""final show",2
Cobra Cat,cobra cat,The 2:13's,the 2:13's,2
Mad Max,mad max,The New Electric Sound,the new electric sound,2
Elizabethan Report,elizabethan report,Parker,parker,2
Cowboys,cowboys,Sunflow,sunflow,2
Cory Mon,cory mon,T.S.G,t.s.g,2
Sky Olson,sky olson,The Valley,the valley,2
Jason,jason,the Astronaut,the astronaut,2
Kathleen Frewin,kathleen frewin,Marlee,marlee,2
Location Location,location location,Neon Trees,neon trees,2
Eyes Lips Eyes,eyes lips eyes,Kid Theodore,kid theodore,2
Jack Pines,jack pines,South Paw,south paw,2
Debra fotheringham,debra fotheringham,Nicole Sheahan,nicole sheahan,2
Ayin,ayin,Side Dish,side dish,2
Cory Mon,cory mon,Paul Jacobsen,paul jacobsen,2
Brady Parks,brady parks,Robert,robert,2
Stephanie Mabey,stephanie mabey,The Penny Candies,the penny candies,2
Hoppy,hoppy,Tuck,tuck,2
Creatively Bound,creatively bound,Kage Hughart Project,kage hughart project,2
Location Location,location location,Seve vs. Evan,seve vs. evan,2
Book on Tapeworm,book on tapeworm,Grey Fiction,grey fiction,2
art,art,"Cabaret Velour"" (Music","cabaret velour"" (music",2
Apache,apache,Candy Claws,candy claws,2
Sayde Price,sayde price,The Devil Whale,the devil whale,2
Kristian H,kristian h,Steady Machete,steady machete,2
Better Taste Bureau,better taste bureau,The Vibrant Sound,the vibrant sound,2
Marcus Bently,marcus bently,T.B.S,t.b.s,2
Kambree,kambree,Mowth,mowth,2
Cody Rigby,cody rigby,Cory Mon,cory mon,2
Kiss Me Kill Me,kiss me kill me,Tempered,tempered,2
American Hitmen,american hitmen,Kiss Me Kill Me,kiss me kill me,2
The Archers Apple,the archers apple,The Devil Whale,the devil whale,2
Mimi Knowles,mimi knowles,Ryan Innes,ryan innes,2
Bryn Johnson,bryn johnson,Ryley Shupe,ryley shupe,2
Pariah Poetic,pariah poetic,Return To Sender,return to sender,2
The Archers Apple,the archers apple,Timber!,timber!,2
Andrew Belle,andrew belle,Ryan Innes,ryan innes,2
Mason Porter,mason porter,Prince of Whales,prince of whales,2
The Handsome,the handsome,Truman,truman,2
Moncheri,moncheri,Truman,truman,2
Moncheri,moncheri,The Handsome,the handsome,2
David Oliver,david oliver,Tom Butler,tom butler,2
DefMoe,defmoe,The Bombshell Flowers,the bombshell flowers,2
Cory Mon,cory mon,Debra fotheringham,debra fotheringham,2
Brady Parks,brady parks,Mad Diving Barons,mad diving barons,2
Cowboys,cowboys,The Devil Whale,the devil whale,2
Brady Parks,brady parks,the Carrolls,the carrolls,2
Lucy Moore,lucy moore,Paul Jacobsen,paul jacobsen,2
Apollo,apollo,The North Valley,the north valley,2
A Film In The Ballroom,a film in the ballroom,Code Hero,code hero,2
Moriah Glazier,moriah glazier,The North Valley,the north valley,2
Cherish Degraaf,cherish degraaf,The Penny Candies,the penny candies,2
Cody Taylor,cody taylor,The North Valley,the north valley,2
Apollo,apollo,Moriah Glazier,moriah glazier,2
Apollo,apollo,Cody Taylor,cody taylor,2
The Highwire Act,the highwire act,Vol Suetra,vol suetra,2
Cody Taylor,cody taylor,Moriah Glazier,moriah glazier,2
Coral Bones,coral bones,Swimm,swimm,2
Preacher,preacher,Victoria,victoria,2
New Nervous,new nervous,Return To Sender,return to sender,2
Joe Castor,joe castor,Joshua James,joshua james,2
Lighten Up Francis,lighten up francis,Swerved By Blondes,swerved by blondes,2
Mighty Sequoyah,mighty sequoyah,Parlor Hawk,parlor hawk,2
Cowboys,cowboys,Ferocious Oaks,ferocious oaks,2
Justian Read,justian read,Kathleen Frewin,kathleen frewin,2
J.R. Boyce,j.r. boyce,Justian Read,justian read,2
Imagine Dragons,imagine dragons,The Vibrant Sound,the vibrant sound,2
Hello Helicopter,hello helicopter,Imagine Dragons,imagine dragons,2
The New Electric Sound,the new electric sound,Toy Bombs,toy bombs,2
Pinguin Mofex,pinguin mofex,The Lovestrange,the lovestrange,2
Desert Noises,desert noises,Drew Capener,drew capener,2
Mansions,mansions,The Record Life,the record life,2
Cactus Tree,cactus tree,Seaslak,seaslak,2
Boots to the Moon,boots to the moon,Return To Sender,return to sender,2
John Whites,john whites,Shark Speed,shark speed,2
Allred $12/$14,allred $12/$14,Mury,mury,2
Ari,ari,Uzi,uzi,2
Abby Normal,abby normal,Code Hero,code hero,2
Lake Island,lake island,The Devil Whale,the devil whale,2
Abby Normal,abby normal,Cory Mon,cory mon,2
RuRu,ruru,Young Buffalo,young buffalo,2
Lake Island,lake island,Timmy The Teeth,timmy the teeth,2
Joshua James,joshua james,Palomino,palomino,2
Desert Noises,desert noises,The Archers Apple,the archers apple,2
RKDN,rkdn,Static Waves,static waves,2
Cowboys,cowboys,Timmy The Teeth,timmy the teeth,2
Hollow Hill,hollow hill,Lonely Heights,lonely heights,2
Eyes Lips Eyes,eyes lips eyes,Fatigi,fatigi,2
Caleb Blood,caleb blood,Double or Nothing,double or nothing,2
Mighty Sequoyah,mighty sequoyah,Timber!,timber!,2
Auburn,auburn,Cory Mon,cory mon,2
Hayley Hernandez,hayley hernandez,Marlee,marlee,2
Old,old,Strange Family,strange family,2
Abby Normal,abby normal,Side Dish,side dish,2
Strange Family,strange family,Young,young,2
Kieran Hellum,kieran hellum,Southernmost Gravy,southernmost gravy,2
Hollow Hill,hollow hill,Southernmost Gravy,southernmost gravy,2
Cory Mon,cory mon,Forgotten Charity,forgotten charity,2
Hollow Hill,hollow hill,Kieran Hellum,kieran hellum,2
Kathleen Frewin,kathleen frewin,Nick Allen,nick allen,2
Andrew Norsworthy,andrew norsworthy,Jared Woods,jared woods,2
His Troubles,his troubles,John Ross Boyce,john ross boyce,2
