date,day,month,year,title,genre,artists,description,venue,extracted_at
2025-10-01,1.0,October,2025,Open-Mic Night,,,Open-Mic Night,Velour Live Music Gallery,2025-10-11T14:58:06.564753
2025-10-02,2.0,October,2025,"Ferrin, Kaytlin Numbers, Avintaquin",Indie-Jazz/Rock,,"(Indie-Jazz/Rock) Ferrin, Kaytlin Numbers, Avintaquin",Velour Live Music Gallery,2025-10-11T14:58:06.564778
2025-10-03,3.0,October,2025,"Noble Bodies ""Reunion""!",Rock/Indie,"Hug The Warrior, The LoveStrange","(Rock/Indie) Noble Bodies ""Reunion""! w/ Hug The Warrior, The LoveStrange",Velour Live Music Gallery,2025-10-11T14:58:06.564794
2025-10-04,4.0,October,2025,"Lovingly Clad, The Moonspinners, Pats Cajamas",Rock/Indie,,"(Rock/Indie) Lovingly Clad, The Moonspinners, Pats Cajamas",Velour Live Music Gallery,2025-10-11T14:58:06.564805
2025-10-08,8.0,October,2025,Open-Mic Night,,,Open-Mic Night,Velour Live Music Gallery,2025-10-11T14:58:06.564815
2025-10-09,9.0,October,2025,"Amy Geis ""Album Release",Pop,"Wildwood, Mik & Tom","(Pop) Amy Geis ""Album Release"" w/ Wildwood, Mik & Tom",Velour Live Music Gallery,2025-10-11T14:58:06.564825
2025-10-10,10.0,October,2025,SEGO,Indie/Art-Rock,"Social Cinema (KS), Rob Spice","(Indie/Art-Rock) SEGO w/ Social Cinema (KS), Rob Spice",Velour Live Music Gallery,2025-10-11T14:58:06.564834
2025-10-11,11.0,October,2025,"AURHE, Geist, Ophelias Drowning",Alt/Rock,,"(Alt/Rock) AURHE, Geist, Ophelias Drowning",Velour Live Music Gallery,2025-10-11T14:58:06.564842
2025-10-15,15.0,October,2025,Open-Mic Night,,,Open-Mic Night,Velour Live Music Gallery,2025-10-11T14:58:06.564850
2025-10-16,16.0,October,2025,"Bleu Grave, Mortal American Body, Midnite Judges",Indie/Post-Punk,,"(Indie/Post-Punk) Bleu Grave, Mortal American Body, Midnite Judges",Velour Live Music Gallery,2025-10-11T14:58:06.564858
2025-10-17,17.0,October,2025,"Jakdel, Sweet Tangerine, Asher Hunt",Alt-Indie,,"(Alt-Indie) Jakdel, Sweet Tangerine, Asher Hunt",Velour Live Music Gallery,2025-10-11T14:58:06.564866
2025-10-18,18.0,October,2025,"Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!..",,,"Buzzards & Bees Presents: GOTH PROM (Dance Party, Prom Photos, Vendors, more!..",Velour Live Music Gallery,2025-10-11T14:58:06.564875
2025-10-21,21.0,October,2025,Festival Set Up,,,Festival Set Up,Velour Live Music Gallery,2025-10-11T14:58:06.564882
2025-10-22,22.0,October,2025,Festival Set Up,,,Festival Set Up,Velour Live Music Gallery,2025-10-11T14:58:06.564890
2025-10-23,23.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564897
2025-10-24,24.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564905
2025-10-25,25.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564912
2025-10-26,26.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564919
2025-10-27,27.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564926
2025-10-28,28.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564933
2025-10-29,29.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564941
2025-10-30,30.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564948
2025-10-31,31.0,October,2025,2025 FilmQuest Film Festival,,,2025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.564955
,,October,2025,October 2025,,,October 2025,Velour Live Music Gallery,2025-10-11T14:58:06.565107
,,October,2025,Find a Month            :Nov 2024Dec 2024Jan 2025Feb 2025Mar 2025Apr 2025May 2025Jun 2025Jul 2025Aug 2025Sep 2025Oct 2025Nov 2025Dec 2025Jan 2026Feb 2026Mar 2026Apr 2026May 2026Jun 2026Jul 2026Aug 2026Sep 2026Oct 2026Nov 2026,,,Find a Month            :Nov 2024Dec 2024Jan 2025Feb 2025Mar 2025Apr 2025May 2025Jun 2025Jul 2025Aug 2025Sep 2025Oct 2025Nov 2025Dec 2025Jan 2026Feb 2026Mar 2026Apr 2026May 2026Jun 2026Jul 2026Aug 2026Sep 2026Oct 2026Nov 2026,Velour Live Music Gallery,2025-10-11T14:58:06.565285
,,October,2025,Mon,,,Mon,Velour Live Music Gallery,2025-10-11T14:58:06.565710
,,October,2025,01Open-Mic Night,,,01Open-Mic Night,Velour Live Music Gallery,2025-10-11T14:58:06.565740
2025-10-05,5.0,October,2025,06,,,06,Velour Live Music Gallery,2025-10-11T14:58:06.565786
2025-10-12,12.0,October,2025,13,,,13,Velour Live Music Gallery,2025-10-11T14:58:06.565838
2025-10-19,19.0,October,2025,20,,,20,Velour Live Music Gallery,2025-10-11T14:58:06.565881
,,October,2025,272025 FilmQuest Film Festival,,,272025 FilmQuest Film Festival,Velour Live Music Gallery,2025-10-11T14:58:06.565919
